title,first_cleaned_reviews
Phoenix Wright: Ace Attorney Trilogy,한글화 한글화 하다 산 내 나쁘다 나쁘다 한글 한글 화하다 화하다 음성 음성 다 한국어 한국어 이다
Phoenix Wright: Ace Attorney Trilogy,다시 접다 접다 띵작 띵작 스토리텔링 스토리텔링 브금 브금 높다 높다 점수 점수 알다 알다 없다 삿대질 삿대질 빠지다 빠지다 보다
Phoenix Wright: Ace Attorney Trilogy,편이 역전검사 역전검사 리 마스터링 마스터링 버전 버전 출시 필요하다 필요하다
Phoenix Wright: Ace Attorney Trilogy,사람 팬티 팬티 세탁기 세탁기 집어넣다 집어넣다 건 어떻다 어떻다 때 답 하나 그 것 벗다 벗다 때 다
Phoenix Wright: Ace Attorney Trilogy,시간 순삭 순삭 일 하다 때 사도 사도 정말 돈값 돈값 이상하다 이상하다 생각 하다
Phoenix Wright: Ace Attorney Trilogy,재밌다 재밌다 다 들다 들다 극한 극한 컨셉 컨셉 충 들이다 들이다 검사 검사 그대로 유튜버 유튜버 해도 되다 같다 컨셉 컨셉 애매하다 애매하다 사람 죽다 죽다 게임 이다
Phoenix Wright: Ace Attorney Trilogy,최고 최고 게임 역다 역다 플레이 하다 않다 뇌 보유 보유 하다 스포 스포 없이 없이 꼭꼭 꼭꼭 바로바로 바로바로 플레이 추천 추천 하다 역다 역다 다시 모르다 모르다 시절 시절 돌아가다 돌아가다 플레이 하고프다 하고프다 정도 정도 정말 재밌다 재밌다 하다 도 꼭꼭 꼭꼭 스팀 판 기원 기원 하다
Phoenix Wright: Ace Attorney Trilogy,역전재판 역전재판 나루 나루 호도 호도 셀렉 셀렉 션 도전 도전 과제 과제 달성 달성 유머 유머 러스 러스 하다 때론 때론 진중하다 진중하다 질문 질문 던지다 던지다 때 있다 법정 법정 추리 추리 어드벤쳐 어드벤쳐 살짝 살짝 억지 억지 과장 과장 스럽다 스럽다 움 추리물 추리물 임 비현실적 비현실적 부분 부분 많다 많다 스토리 스토리 취향 취향 맞다 맞다 재밌다 재밌다 일본 일본 개그 개그 짜임새 짜임새 있다 스토리 스토리 매력 매력 인물 인물 끝나다 끝나다 때 이면 이면 어느새다 어느새다 정 들다 들다 있다 나르다 나르다 발견 발견 하다 수 있다 초등학생 초등학생 때 역다 역다 중학생 중학생 때 역다 역다 오다 오다 역검 역검 대학생 대학생 지금 역전재판 역전재판 트릴로지 트릴로지 이렇게 나이 나이 걸치다 걸치다 하다 나이 나이 별로 별로 생각 하다 부분 부분 추구 추구 하다 방향 방향 달라 달라 그렇다 항상 항상 감회 감회 새롭다 새롭다 추억 추억 보정 보정 없다 수야 수야 없다 인생 인생 최고 최고 게임 중 하나 이다 역전재판 역전재판 도 나오다 나오다 지금 빨리 빨리 역다 역다 후속작 후속작 역검 역검 시리즈 시리즈 나오다 나오다 바 보다 비현실적 비현실적 짜임새 짜임새 있다 매우 흥미롭다 흥미롭다 스토리 스토리 매력 매력 캐릭터 캐릭터 중독 중독 있다
Phoenix Wright: Ace Attorney Trilogy,훌륭하다 훌륭하다 가성 가성 비 구관 구관 명관 명관 말 걸 맞다 맞다 작품 작품 게임 그렇게 자주 자주 하다 않다 일만 일만 시간 해 버리다 버리다
Phoenix Wright: Ace Attorney Trilogy,역전재판 역전재판 고전 고전 명작 명작 희한하다 희한하다 다 해보다 해보다 게임 추리물 추리물 좋아하다 좋아하다 꼭 해보다 해보다
Phoenix Wright: Ace Attorney Trilogy,스팀 나오다 나오다 전 좋아하다 좋아하다 진짜 진짜 명작 명작 스토리 스토리 유머 유머 다 갖추다 갖추다 몇 번 플레이 해보다 해보다 질리다 질리다 않다 비현실적 비현실적 부분 부분 있다 그걸 그걸 또 자다 자다 살리다 살리다 재밌다 재밌다 조금 비현실적 비현실적 싫어하다 싫어하다 추천 추천 스토리 스토리 기다 기다 싫어하다 싫어하다 비추다 비추다 역다 역다 역검 역검 다 나오다 나오다
Phoenix Wright: Ace Attorney Trilogy,침착 침착 맨 방송 방송 보고 시작 시작 하다 재밌다 재밌다 워떠케 워떠케 되다 겨 워떠케 워떠케 되다 겨
Phoenix Wright: Ace Attorney Trilogy,제발 제발 후속작 후속작 역 검도 검도 내주다 내주다 다 좋다 좋다 나루 나루 호도 호도 마 나이 나이 차갑다 차갑다 꽤 날다 날다 자꾸 자꾸 러브 러브 라인 라인 밉다 밉다 역다 역다 움
Phoenix Wright: Ace Attorney Trilogy,재판 재판 장르 장르 최초 최초 보이다 보이다 것 비슷하다 단간론파 단간론파 이 그나마 그나마 노멀 노멀 하다 자다 자다 만들다 만들다 지다 지다 플레이어 플레이어 사고 사고 능력 능력 새롭다 새롭다 충격 충격 능력 능력 주다 주다 게임 게임 함 자신 옳다 옳다 바르다 바르다 사고 사고 하다 있다 드러나다 드러나다 평소 평소 병신 같다 생각 하다 있다 게임 함 바르다 바르다 사고 사고 이끌다 이끌다 주다 주다 기억 기억 하다 우연 우연 일 겹 치다 치다 일어나지 일어나지 않다
Phoenix Wright: Ace Attorney Trilogy,지금 열심히 열심히 플레이 하다 있다 어쩐지 어쩐지 목 많이 많이 아프다 아프다 뒤 갈수록 갈수록 더 재미있다 재미있다 지다 지다 하다 기대하다 기대하다 있다
Phoenix Wright: Ace Attorney Trilogy,다양하다 다양하다 증거물 증거물 이용 이용 통쾌하다 통쾌하다 추리 추리 기대하다 기대하다 구매 하다 말다 말다 기억 기억 나쁘다 나쁘다 빡 대가리 고집 고집 쌘 빡 대가리 당신 암세포 암세포 자라다 자라다 만듭니 만듭니 게임 재밌다 재밌다
Phoenix Wright: Ace Attorney Trilogy,야구공 야구공 꿰매다 꿰매다 자국 자국 있다 야구공 야구공 수상하다 수상하다 하다 겁
Phoenix Wright: Ace Attorney Trilogy,변호사 변호사 주인공 주인공 얘 변호사 변호사 생활 생활 하다 받다 받다 특이하다 특이하다 사건 사건 맡다 맡다 의뢰인 의뢰인 무죄 무죄 입증 입증 하다 퍼즐게임 퍼즐게임 이다 사건 사건 일어나다 일어나다 장소 장소 가다 가다 의뢰인 의뢰인 이야기 하다 얻다 얻다 내다 내다 단서 단서 기반 기반 새롭다 새롭다 장소 장소 가다 가다 거기 거기 서도 서도 증거 증거 품 찾다 찾다 그렇다 법정 법정 우리 주인공 주인공 찾다 찾다 증거 증거 품 이용 이용 하다 의뢰인 의뢰인 변호 변호 하다 과정 과정 정말 재밌다 재밌다 말로 말로 들어서다 들어서다 별로 별로 실감 실감 안나 안나 제 자신 변호사 변호사 되다 느낌 느낌 이다 이 게임 또 다른 매력 매력 캐릭터 캐릭터 다양하다 다양하다 전부 재미있다 재미있다 놈 없다 것 이다 어린이 어린이 프로그램 프로그램 인형 인형 옷 입다 입다 아저씨 아저씨 말빨 말빨 장난 장난 아니다 할머니 할머니 있다 컨셉 컨셉 취한 취한 마술사 마술사 있다 텍스트 텍스트 간단하다 간단하다 애니메이션 애니메이션 없다 게인 게인 캐릭터 캐릭터 재밌다 재밌다 글 전부 읽다 읽다 고 애니메이션 애니메이션 것 나오다 나오다 궁금하다 궁금하다 지다 지다 사건 사건 하나같이 하나같이 병맛 병맛 약간 첨가 첨가 되어다 되어다 막 하다 공략 공략 보더 보더 이해 이해 안되다 언젠가 전부 자다 자다 맞다 맞다 이야기 되어다 되어다 신기하다 신기하다 경지 경지 이르다 그림 그림 깔끔하다 깔끔하다 스토리 스토리 좋다 좋다 추천 추천 박다 박다
